Valstybinis numeris;Gamintojas;Modelis;Pagaminimo metai;Pagaminimo mėnuo;T.A. galiojimo data;Kuras;Vid. sąnaudos
ASD435;Audi;A6;2005;4;SKUBIAI;benzinas;5.300
LLL342;Mazda;3;1990;11;SKUBIAI;elektrine;3.000
DYY999;Volvo;V70;2009;9;SKUBIAI;dyzelis;4.800
UPP805;Audi;A6;2000;12;SKUBIAI;benzinas;9.300
DOO499;Volvo;S80;2012;4;SKUBIAI;dyzelis;8.000
JYY875;Audi;A100;1990;2;SKUBIAI;dyzelis;6.300
DKI234;Passat;B6;1996;5;SKUBIAI;benzinas;5.600
FCX456;Ford;Focus;2016;4;SKUBIAI;dyzelis;7.900
DKL759;Volvo;S80;2008;1;SKUBIAI;dyzelis;10.500
OOO367;Volvo;S60;2012;7;SKUBIAI;benzinas;8.000
PPP875;Audi;A6;2018;5;SKUBIAI;dyzelis;7.300
LZM279;Audi;A7;2006;6;SKUBIAI;dujos;7.300

